iter	Passed	Remaining
674	1048	194
675	1050	192
676	1051	191
677	1053	189
678	1055	188
679	1056	186
680	1058	184
681	1059	183
682	1061	181
683	1062	180
684	1064	178
685	1066	177
686	1067	175
687	1069	174
688	1070	172
689	1072	171
690	1074	169
691	1075	167
692	1077	166
693	1078	164
694	1079	163
695	1081	161
696	1082	159
697	1083	158
698	1085	156
699	1087	155
700	1088	153
701	1089	152
702	1091	150
703	1092	148
704	1093	147
705	1099	146
706	1104	145
707	1106	143
708	1108	142
709	1110	140
710	1112	139
711	1114	137
712	1116	136
713	1120	134
714	1122	133
715	1124	131
716	1126	130
717	1128	128
718	1130	127
719	1131	125
720	1133	124
721	1135	122
722	1136	121
723	1137	119
724	1139	117
725	1140	116
726	1142	114
727	1143	113
728	1145	111
729	1146	109
730	1147	108
731	1149	106
732	1150	105
733	1152	103
734	1153	101
735	1154	100
736	1155	98
737	1157	97
738	1158	95
739	1159	94
740	1160	92
741	1162	90
742	1163	89
743	1164	87
744	1166	86
745	1167	84
746	1168	82
747	1170	81
748	1171	79
749	1172	78
750	1173	76
751	1174	74
752	1176	73
753	1177	71
754	1178	70
755	1180	68
756	1181	67
757	1182	65
758	1184	63
759	1185	62
760	1186	60
761	1187	59
762	1189	57
763	1190	56
764	1191	54
765	1192	52
766	1194	51
767	1195	49
768	1196	48
769	1198	46
770	1199	45
771	1200	43
772	1201	41
773	1202	40
774	1204	38
775	1205	37
776	1206	35
777	1207	34
778	1209	32
779	1210	31
780	1211	29
781	1213	27
782	1214	26
783	1215	24
784	1216	23
785	1218	21
786	1219	20
787	1220	18
788	1221	17
789	1223	15
790	1224	13
791	1225	12
792	1227	10
793	1228	9
794	1229	7
795	1231	6
796	1232	4
797	1233	3
798	1235	1
799	1236	0
